name,birth,incoming_links,outgoing_links
Terry Eagleton,NA,Louis Althusser:,
Dominique Lecourt,NA,Louis Althusser:,
Pierre Macherey,NA,Louis Althusser:,
Jacques-Alain Miller,NA,Louis Althusser:,
Stephen Resnick,NA,Louis Althusser:,
Richard D. Wolff,NA,Louis Althusser:,
Anthony Giddens,NA,Louis Althusser:,
Mahdi Amel,NA,Louis Althusser:,
Roy Bhaskar,NA,Louis Althusser:,
Stuart Hall,NA,Louis Althusser:,
Hypatia,NA,Ammonius Saccas:,
Origen,NA,Ammonius Saccas:,
Milesian school,NA,,Anaxagoras:
Archelaus,NA,Anaxagoras:,
Pericles,NA,Anaxagoras:,
Thales of Miletus,NA,,Anaximander:
Greek astronomy,NA,Anaximander:,
Scylax of Caryanda,NA,Anaximenes of Miletus:,
Henry Jones,NA,,John Anderson (philosopher):
John Passmore,NA,John Anderson (philosopher):,
A. J. Baker,NA,John Anderson (philosopher):,
Eugene Kamenka,NA,John Anderson (philosopher):,
Hedley Bull,NA,John Anderson (philosopher):,
Brian Davies,NA,G. E. M. Anscombe:,
Crates of Thebes,NA,Antisthenes:,
Cynics,NA,Antisthenes:,
Stoicism,NA,Antisthenes:,
Hans-Hermann Hoppe,NA,Karl-Otto Apel:,
Vittorio Hösle,NA,Karl-Otto Apel:,
St. Paul,NA,,Thomas Aquinas:
Western philosophy,NA,Thomas Aquinas:,
Catholic theology,NA,Thomas Aquinas:,
Protestant theology,NA,Thomas Aquinas:,
Crantor,NA,,Arcesilaus:
Polemo,NA,,Arcesilaus:
Crates of Athens,NA,,Arcesilaus:
Lacydes,NA,Arcesilaus:,
Clitomachus,NA,Arcesilaus:,
Menaechmus,NA,Archytas:,
Goethe,NA,,Hannah Arendt:
Heinrich Blücher,NA,,Hannah Arendt:
Giorgio Agamben,NA,Hannah Arendt:,
Seyla Benhabib,NA,Hannah Arendt:,
Elisabeth Young-Bruehl,NA,Hannah Arendt:,
Mario Kopić,NA,Hannah Arendt:,
Arete of Cyrene,NA,Aristippus:,
Aristippus the Younger,NA,Aristippus:,
Hegesias,NA,Aristippus:,
Theodorus,NA,Aristippus:,
Aristotelianism,NA,,Aristotle:
Enlightenment,NA,,Aristotle:
List of writers influenced by Aristotle,NA,,Aristotle:
Cornelius Jansen,NA,,Antoine Arnauld:
Estius,NA,,Antoine Arnauld:
Francisque Bouillier,NA,Antoine Arnauld:,
Ambrosiaster,NA,,Augustine of Hippo:
Anthony,NA,,Augustine of Hippo:
Arnobius,NA,,Augustine of Hippo:
Cyprian,NA,,Augustine of Hippo:
Hilary of Poitiers,NA,,Augustine of Hippo:
Horace,NA,,Augustine of Hippo:
Lactantius,NA,,Augustine of Hippo:
Lucan,NA,,Augustine of Hippo:
Monica,NA,,Augustine of Hippo:
Optatus,NA,,Augustine of Hippo:
Quintilian,NA,,Augustine of Hippo:
Sallust,NA,,Augustine of Hippo:
Terence,NA,,Augustine of Hippo:
Ticonius,NA,,Augustine of Hippo:
Virgil,NA,,Augustine of Hippo:
Quintus,NA,,Marcus Aurelius:
Apollonius,NA,,Marcus Aurelius:
Sextus of Chaeronea,NA,,Marcus Aurelius:
Mirra Alfassa,NA,Sri Aurobindo:,
Auroville,NA,Sri Aurobindo:,
Ken Wilber,NA,Sri Aurobindo:,
Haridas Chaudhuri,NA,Sri Aurobindo:,
Rom Harré,NA,J. L. Austin:,
Anatoly Lunacharsky,NA,Richard Avenarius:,
Al-Bitruji,NA,Averroes:,
Siger of Brabant,NA,Averroes:,
Gaetano da Thiene,NA,Averroes:,
Marcantonio Zimara,NA,Averroes:,
Averroism,NA,Averroes:,
Neoplatonism,NA,,Avicenna:
Rhazes,NA,,Avicenna:
Al-Biruni,NA,,Avicenna:
al-Masihi,NA,,Avicenna:
Abul Hasan Hankari,NA,,Avicenna:
Ibn al-Nafis,NA,Avicenna:,
Abu 'Ubayd al-Juzjani,NA,Avicenna:,
Vienna Circle,NA,,Alfred Ayer:
Ted Honderich,NA,Alfred Ayer:,
Charles Nodier,NA,,Gaston Bachelard:
Max Picard,NA,,Gaston Bachelard:
Émile Meyerson,NA,,Gaston Bachelard:
Abel Rey,NA,,Gaston Bachelard:
Léon Brunschvicg,NA,,Gaston Bachelard:
Alexandre Koyré,NA,Gaston Bachelard:,
Gilbert Durand,NA,Gaston Bachelard:,
François Dagognet,NA,Gaston Bachelard:,
Nader El-Bizri,NA,Gaston Bachelard:,
Rogelio Salmona,NA,Gaston Bachelard:,
Don Ihde,NA,Gaston Bachelard:,
Jules Vuillemin,NA,Gaston Bachelard:,
Palissy,NA,,Francis Bacon:
Biringuccio,NA,,Francis Bacon:
William Gilbert,NA,,Francis Bacon:
Basil Montagu,NA,Francis Bacon:,
Encyclopédistes,NA,Francis Bacon:,
William Petty,NA,Francis Bacon:,
Feliks Koneczny,NA,Francis Bacon:,
Albumasar,NA,,Roger Bacon:
Ibn al-Haytham,NA,,Roger Bacon:
William of Sherwood,NA,,Roger Bacon:
Adam Marsh,NA,,Roger Bacon:
Juan Bautista Alberdi,NA,Roger Bacon:,
Paul Cohen,NA,,Alain Badiou:
Stéphane Mallarmé,NA,,Alain Badiou:
Samuel Beckett,NA,,Alain Badiou:
Fernando Pessoa,NA,,Alain Badiou:
Sylvain Lazarus,NA,,Alain Badiou:
François Laruelle,NA,Alain Badiou:,
Peter Hallward,NA,Alain Badiou:,
Simon Critchley,NA,Alain Badiou:,
Mehdi Belhaj Kacem,NA,Alain Badiou:,
Ray Brassier,NA,Alain Badiou:,
Quentin Meillassoux,NA,Alain Badiou:,
Alberto Toscano,NA,Alain Badiou:,
Oliver Feltham,NA,Alain Badiou:,
Justin Clemens,NA,Alain Badiou:,
Nina Power,NA,Alain Badiou:,
Jason Barker,NA,Alain Badiou:,
Tristan Garcia,NA,Alain Badiou:,
Samauʼal Al-Maghribī,NA,Hibat Allah Abu'l-Barakat al-Baghdaadi:,
Stephen Toulmin,NA,,Kurt Baier:
Stephen Darwall,NA,Kurt Baier:,
F. F. Zelinsky,NA,,Mikhail Bakhtin:
Buonarroti,NA,,Mikhail Bakunin:
Feuerbach,NA,,Mikhail Bakunin:
Cafiero,NA,Mikhail Bakunin:,
Goldman,NA,Mikhail Bakunin:,
Guérin,NA,Mikhail Bakunin:,
Neill,NA,Mikhail Bakunin:,
Postman,NA,Mikhail Bakunin:,
Thompson,NA,Mikhail Bakunin:,
John Milios,NA,Étienne Balibar:,
Michelet,NA,,Roland Barthes:
James Wood,NA,Roland Barthes:,
Eric de Kuyper,NA,Roland Barthes:,
Philippe-Joseph Salazar,NA,Roland Barthes:,
Gérard Genette,NA,Roland Barthes:,
Susan Sontag,NA,Roland Barthes:,
Benoît Peeters,NA,Roland Barthes:,
René Guénon,NA,,Georges Bataille:
Maria de Naglowska,NA,,Georges Bataille:
Marquis de Sade,NA,,Georges Bataille:
Marcel Mauss,NA,,Georges Bataille:
Nick Land,NA,Georges Bataille:,
Michel Leiris,NA,Georges Bataille:,
Marshall McLuhan,NA,,Jean Baudrillard:
Alfred Jarry,NA,,Jean Baudrillard:
Jorge Luis Borges,NA,,Jean Baudrillard:
Thorstein Veblen,NA,,Jean Baudrillard:
Sophie Calle,NA,Jean Baudrillard:,
Peter Halley,NA,Jean Baudrillard:,
Gerald Vizenor,NA,Jean Baudrillard:,
The Wachowskis,NA,Jean Baudrillard:,
Cody Wilson,NA,Jean Baudrillard:,
Gilles Lipovetsky,NA,Jean Baudrillard:,
Mario Perniola,NA,Jean Baudrillard:,
Byung-Chul Han,NA,Jean Baudrillard:,
David Strauss,NA,,Bruno Bauer:
Arthur Drews,NA,Bruno Bauer:,
Johann Georg Sulzer,NA,Alexander Gottlieb Baumgarten:,
Johann Joachim Winckelmann,NA,Alexander Gottlieb Baumgarten:,
Frederick the Great,NA,Pierre Bayle:,
des Maizeaux,NA,Pierre Bayle:,
Mandeville,NA,Pierre Bayle:,
Christian Jakob Kraus,NA,,Jakob Sigismund Beck:
Johann Schultz,NA,,Jakob Sigismund Beck:
Paul Weiss,NA,,Nuel Belnap:
Arthur Pap,NA,,Nuel Belnap:
Frederic Fitch,NA,,Nuel Belnap:
Friedrich Ueberweg,NA,Friedrich Eduard Beneke:,
